en_word;tr_meaning;pos;example_en;example_tr;synonyms_raw;antonyms_raw;level;tags_raw;notes
a great deal of;çok miktarda;prep.;She has put a great deal of effort into preparing her presentation, so I am sure it will be a great success.;Sunumunu hazırlamak için çok fazla çaba harcadı, bu yüzden büyük bir başarı olacağına eminim.;"a large amount of; plenty of";a small amount of;B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
a large amount of;çok miktarda;prep.;The new project will require a large amount of financial investment and human resources.;Yeni proje, büyük miktarda finansal yatırım ve insan kaynağı gerektirecek.;"a great deal of; plenty of";a small amount of;B2;measurement_quantity;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
a large number of;çok sayıda;prep.;A large number of students have signed up for the advanced grammar course this semester.;Bu dönem ileri düzey gramer kursuna çok sayıda öğrenci kaydoldu.;"many; numerous";few;B1;"mathematics;measurement_quantity";Orta seviye kelime. Genel iletişimde kullanılır.
a large quantity of;çok miktarda;prep.;The factory had to dispose of a large quantity of contaminated materials to comply with safety regulations.;Fabrika, güvenlik düzenlemelerine uymak için büyük miktarda kontamine malzemeyi imha etmek zorunda kaldı.;"a great deal of; a large amount of";a small quantity of;B2;measurement_quantity;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
a number of;birkaç, birçok;prep.;A number of important issues, such as climate change and global poverty, were discussed at the summit.;İklim değişikliği ve küresel yoksulluk gibi bir dizi önemli konu zirvede tartışıldı.;"several; many";few;B1;"mathematics;measurement_quantity";Orta seviye kelime. Genel iletişimde kullanılır.
a variety of;bir çok farklı;phr. v.;"We stock a variety of cheeses. The broader context clarifies how ""a variety of"" is used in natural English.";"Birçok farklı peynir çeşidi stokluyoruz. Ek bağlam, ""a variety of"" ifadesinin doğal kullanımdaki anlamını daha açık gösterir.";"a range of; an assortment of";;B1;academic_general;Orta seviye kelime. Genel iletişimde kullanılır.
abandon;terk etmek, vazgeçmek;v.;Several coastal communities had to abandon their homes when repeated flooding made long-term settlement increasingly unsafe.;Tekrarlanan seller uzun vadeli yerleşimi giderek güvensiz hâle getirince bazı kıyı toplulukları evlerini terk etmek zorunda kaldı.;"leave; desert; forsake";"keep; stay; remain";B2;academic_general;Orta-üst seviye kelime. Akademik ve profesyonel bağlamlarda önemlidir.
abate;hafiflemek, dinmek, azalmak, yatışmak, azaltmak;v.;The winds began to abate shortly after midnight, allowing rescue teams to reach villages that had been isolated by the storm.;Rüzgâr gece yarısından kısa süre sonra hafiflemeye başladı ve kurtarma ekiplerinin fırtına nedeniyle izole olan köylere ulaşmasını sağladı.;"subside; decrease; lessen";"intensify; increase; worsen";C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abduct;birisini kaçırmak;v.;The investigators uncovered a network that had planned to abduct wealthy tourists and demand payment for their release.;Soruşturmacılar, varlıklı turistleri kaçırıp serbest bırakılmaları karşılığında para istemeyi planlayan bir ağı ortaya çıkardı.;"kidnap; seize";"release; free";C1;academic_general;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
abduction;insan kaçırma;n.;The child's abduction prompted an extensive search involving local police, border authorities, and hundreds of volunteers.;Çocuğun kaçırılması, yerel polis, sınır yetkilileri ve yüzlerce gönüllünün katıldığı kapsamlı bir arama başlattı.;"kidnapping; seizure; capture";"release; freeing";C1;people_identity;İleri seviye kelime. Akademik metinlerde ve resmi yazışmalarda kullanılır.
