source_number;source_title;replacement_title_en;replacement_title_tr;level;sentences;questions
1;001-Amy's Restaurant (Amy'nin Restoranı);A Neighborhood Restaurant: More Than a Menu;Bir Mahalle Restoranı: Menünün Ötesinde;A1;15;5
2;002-Cinemas (Sinemalar);Cinemas in the Age of Streaming;Dijital Yayın Çağında Sinemalar;A1;15;5
3;003-Derek (Derek);Derek and a Career with Animals;Derek ve Hayvanlarla Bir Kariyer;A1;15;5
4;004-Jim (Jim);Jim: Work, Family, and Time;Jim: İş, Aile ve Zaman;A1;15;5
5;005-Joan (Joan);Joan Learns New Technology at Work;Joan İş Yerinde Yeni Teknoloji Öğreniyor;A1;15;5
6;006-Kate (Kate);Kate's Busy Week;Kate'in Yoğun Haftası;A1;15;5
7;007-Letter from Halima and Ahmed (Halima ve Ahmed'den Mektup);A Letter from Halima and Ahmed: Discovering a New City;Halima ve Ahmed'den Mektup: Yeni Bir Şehri Keşfetmek;A1;15;5
8;008-Letter from Pam (Pam'den Mektup);Pam's Letter: Starting Work in a New Place;Pam'in Mektubu: Yeni Bir Yerde İşe Başlamak;A1;15;5
9;009-New York University (New York Üniversitesi);Studying at New York University;New York Üniversitesi'nde Öğrenim;A1;15;5
10;010-Roland-Evi-Della (Roland-Evi-Della);Friends, Hobbies, and Sport;Arkadaşlar, Hobiler ve Spor;A1;15;5
11;011-The Garston Family (Garston Ailesi);The Garston Family and Their Daily Routine;Garston Ailesi ve Günlük Düzenleri;A1;15;5
12;012-The Old England Restaurant (Eski İngiltere Restoranı);The Old England Restaurant: Food, Service, and Atmosphere;Eski İngiltere Restoranı: Yemek, Hizmet ve Atmosfer;A1;15;5
13;013-The Statue of Liberty (Özgürlük Heykeli);The Statue of Liberty: A Symbol in New York Harbor;Özgürlük Heykeli: New York Limanı'nda Bir Sembol;A1;15;5
14;014-University of London (Londra Üniversitesi);The University of London: Learning Across a City;Londra Üniversitesi: Bir Şehir Boyunca Öğrenmek;A1;15;5
15;015-Young Love (Genç Aşk);Young Love, Music, and Identity;Genç Aşk, Müzik ve Kimlik;A1;15;5
16;016-A Meeting (Bir Toplantı);A Productive Meeting;Verimli Bir Toplantı;A2;15;5
17;017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);Afghanistan's Opium Economy: A Difficult Cycle;Afganistan'ın Afyon Ekonomisi: Zor Bir Döngü;A2;15;5
18;018-Airline Security (Havayolu Güvenliği);Airline Security: Protection and Fair Treatment;Havayolu Güvenliği: Koruma ve Adil Muamele;A2;15;5
19;019-Alfred Hitchcock (Alfred Hitchcock);Alfred Hitchcock and the Art of Suspense;Alfred Hitchcock ve Gerilim Sanatı;A2;15;5
20;020-Cats (Kediler);Cats: Companionship and Responsible Care;Kediler: Arkadaşlık ve Sorumlu Bakım;A2;15;5
21;021-Charlie Chaplin (Charlie Chaplin);Charlie Chaplin: Comedy in a Changing World;Charlie Chaplin: Değişen Bir Dünyada Komedi;A2;15;5
22;022-Charlie Chaplin (Charlie Chaplin);Charlie Chaplin as an Artist and Filmmaker;Bir Sanatçı ve Sinemacı Olarak Charlie Chaplin;A2;15;5
23;023-Dreams (Rüyalar);Dreams: What Happens While We Sleep?;Rüyalar: Uyurken Ne Olur?;A2;15;5
24;024-Elvis Presley (Elvis Presley);Elvis Presley and the Rise of Rock and Roll;Elvis Presley ve Rock'n Roll'un Yükselişi;A2;15;5
25;025-Emotions and Thoughts (Duygular ve Düşünceler);Emotions and Thoughts: Understanding Our Reactions;Duygular ve Düşünceler: Tepkilerimizi Anlamak;A2;15;5
26;026-FC Barcelona: More Than a Club (FC Barcelona: Bir Kulüpten Daha Fazlası);FC Barcelona: Sport, Identity, and Community;FC Barcelona: Spor, Kimlik ve Topluluk;A2;15;5
27;027-Football: The World's Most Popular Sport (Futbol: Dünyanın En Popüler Sporu);Football: Why the World Plays the Same Game;Futbol: Dünya Neden Aynı Oyunu Oynuyor?;A2;15;5
28;028-Giovanna Amati: One Fast Woman (Giovanna Amati: Hızlı Bir Kadın);Giovanna Amati: Breaking Barriers in Motor Racing;Giovanna Amati: Motor Sporlarında Engelleri Aşmak;A2;15;5
29;029-Going to Britain (İngiltere'ye Gidiş);Going to Britain: Planning a Practical Trip;Britanya'ya Gitmek: Pratik Bir Seyahat Planlamak;A2;15;5
30;030-Grandmother's Glasses (Anneannenin Gözlüğü);Grandmother's Glasses: A Small Family Mystery;Büyükannenin Gözlükleri: Küçük Bir Aile Gizemi;A2;15;5
31;031-Home Sweet Home (Yuva Tatlı Yuva);Home Sweet Home: Why Familiar Places Matter;Evim Güzel Evim: Tanıdık Mekânlar Neden Önemlidir?;A2;15;5
32;032-Job Advertisements (İş İlanları);How to Read a Job Advertisement;İş İlanı Nasıl Okunur?;A2;15;5
33;033-Job Centre Leaflet (İş Merkezi Broşürü);Using a Job Centre Effectively;İş Bulma Merkezini Etkili Kullanmak;A2;15;5
34;034-Lebrat's Visit (Lebrat'ın Ziyareti);A Business Visit: Turning a Meeting into Cooperation;İş Ziyareti: Bir Toplantıyı İş Birliğine Dönüştürmek;A2;15;5
35;035-Longleat House (Longleat Evi);Longleat House: Heritage as a Living Place;Longleat House: Yaşayan Bir Miras Alanı;A2;15;5
36;036-Mahatma Gandhi (Mahatma Gandhi);Mahatma Gandhi and Nonviolent Political Action;Mahatma Gandhi ve Şiddetsiz Siyasal Eylem;A2;15;5
37;037-Mammals (Memeliler);Mammals: A Diverse Branch of Animal Life;Memeliler: Hayvan Yaşamının Çeşitli Bir Dalı;A2;15;5
38;038-Men in Skirts (Etekli Erkekler);Clothing, Gender, and Cultural Tradition;Giyim, Cinsiyet ve Kültürel Gelenek;A2;15;5
39;039-Ölüdeniz: Turkey's Blue Lagoon (Ölüdeniz: Türkiye'nin Mavi Lagünü);Ölüdeniz: Tourism and Care for a Blue Lagoon;Ölüdeniz: Mavi Lagünde Turizm ve Koruma;A2;15;5
40;040-Parachuting (Paraşütle Atlama);Parachuting: Training Before the Jump;Paraşütle Atlama: Atlayıştan Önce Eğitim;A2;15;5
41;041-Picking Apples - A New England Tradition (Elma Toplamak - Bir New England Geleneği);Apple Picking: A New England Autumn Tradition;Elma Toplama: New England'da Bir Sonbahar Geleneği;A2;15;5
42;042-Plaza Shopping Centre (Plaza Alışveriş Merkezi);Shopping Centres: Convenience and Choice;Alışveriş Merkezleri: Kolaylık ve Seçenek;A2;15;5
