pack_name;title;level;tags_raw;Category;display_title_en;display_title_tr
YDS Set 001;001-Amy's Restaurant (Amy'nin Restoranı);A1;"food; dining; prices";Food & Agriculture;A Neighborhood Restaurant: More Than a Menu;Bir Mahalle Restoranı: Menünün Ötesinde
YDS Set 001;002-Cinemas (Sinemalar);A1;"entertainment; films; schedule";Everyday Life & Consumption;Cinemas in the Age of Streaming;Dijital Yayın Çağında Sinemalar
YDS Set 001;003-Derek (Derek);A1;"biography; animals; career";History;Derek and a Career with Animals;Derek ve Hayvanlarla Bir Kariyer
YDS Set 001;004-Jim (Jim);A1;"biography; family; career";History;Jim: Work, Family, and Time;Jim: İş, Aile ve Zaman
YDS Set 001;005-Joan (Joan);A1;"biography; technology; career";Science & Technology;Joan Learns New Technology at Work;Joan İş Yerinde Yeni Teknoloji Öğreniyor
YDS Set 001;006-Kate (Kate);A1;"family; jobs; daily life";Personal Stories & Human Interest;Kate's Busy Week;Kate'in Yoğun Haftası
YDS Set 001;007-Letter from Halima and Ahmed (Halima ve Ahmed'den Mektup);A1;"travel; letter; landmarks";Travel & Geography;A Letter from Halima and Ahmed: Discovering a New City;Halima ve Ahmed'den Mektup: Yeni Bir Şehri Keşfetmek
YDS Set 001;008-Letter from Pam (Pam'den Mektup);A1;"travel; jobs; letter";Travel & Geography;Pam's Letter: Starting Work in a New Place;Pam'in Mektubu: Yeni Bir Yerde İşe Başlamak
YDS Set 001;009-New York University (New York Üniversitesi);A1;"education; city life; location";Education;Studying at New York University;New York Üniversitesi'nde Öğrenim
YDS Set 001;010-Roland-Evi-Della (Roland-Evi-Della);A1;"biography; hobbies; sports";Sports;Friends, Hobbies, and Sport;Arkadaşlar, Hobiler ve Spor
YDS Set 001;011-The Garston Family (Garston Ailesi);A1;"family; pets; routine";Personal Stories & Human Interest;The Garston Family and Their Daily Routine;Garston Ailesi ve Günlük Düzenleri
YDS Set 001;012-The Old England Restaurant (Eski İngiltere Restoranı);A1;"food; dining; leisure";Food & Agriculture;The Old England Restaurant: Food, Service, and Atmosphere;Eski İngiltere Restoranı: Yemek, Hizmet ve Atmosfer
YDS Set 001;013-The Statue of Liberty (Özgürlük Heykeli);A1;"landmarks; tourism; history";Travel & Geography;The Statue of Liberty: A Symbol in New York Harbor;Özgürlük Heykeli: New York Limanı'nda Bir Sembol
YDS Set 001;014-University of London (Londra Üniversitesi);A1;"education; history; landmarks";History;The University of London: Learning Across a City;Londra Üniversitesi: Bir Şehir Boyunca Öğrenmek
YDS Set 001;015-Young Love (Genç Aşk);A1;"music; lifestyle; hobbies";Art, Music & Literature;Young Love, Music, and Identity;Genç Aşk, Müzik ve Kimlik
YDS Set 001;016-A Meeting (Bir Toplantı);A2;"business; introductions; dialogue";Work & Career Advice;A Productive Meeting;Verimli Bir Toplantı
YDS Set 001;017-Afghanistan’s deadly crop flourishes again (Afganistan'ın ölümcül ürünü yeniden gelişiyor);A2;"afghanistan; opium; drugs";Addiction & Substance Use;Afghanistan's Opium Economy: A Difficult Cycle;Afganistan'ın Afyon Ekonomisi: Zor Bir Döngü
YDS Set 001;018-Airline Security (Havayolu Güvenliği);A2;"airline; security; racism";Defense & Security;Airline Security: Protection and Fair Treatment;Havayolu Güvenliği: Koruma ve Adil Muamele
YDS Set 001;019-Alfred Hitchcock (Alfred Hitchcock);A2;"biography; cinema; history";History;Alfred Hitchcock and the Art of Suspense;Alfred Hitchcock ve Gerilim Sanatı
YDS Set 001;020-Cats (Kediler);A2;"animals; pets; history";Personal Stories & Human Interest;Cats: Companionship and Responsible Care;Kediler: Arkadaşlık ve Sorumlu Bakım
YDS Set 001;021-Charlie Chaplin (Charlie Chaplin);A2;"biography; cinema; history";History;Charlie Chaplin: Comedy in a Changing World;Charlie Chaplin: Değişen Bir Dünyada Komedi
YDS Set 001;022-Charlie Chaplin (Charlie Chaplin);A2;"cinema; biography";Art, Music & Literature;Charlie Chaplin as an Artist and Filmmaker;Bir Sanatçı ve Sinemacı Olarak Charlie Chaplin
YDS Set 001;023-Dreams (Rüyalar);A2;"sleep; dreams; psychology";Psychology & Health;Dreams: What Happens While We Sleep?;Rüyalar: Uyurken Ne Olur?
YDS Set 001;024-Elvis Presley (Elvis Presley);A2;"biography; music; fame";Art, Music & Literature;Elvis Presley and the Rise of Rock and Roll;Elvis Presley ve Rock'n Roll'un Yükselişi
