en_word;tr_meaning;pos;example_en;example_tr;synonyms_raw;antonyms_raw;level;tags_raw;notes
a great deal of;çok miktarda;prep.;She has put a great deal of effort into preparing her presentation, so I am sure it will be a great success.;Sunumunu hazırlamak için çok fazla çaba harcadı, bu yüzden büyük bir başarı olacağına eminim.;"a large amount of; plenty of";a small amount of;B2;measurement & quantity;
a large amount of;çok miktarda;prep.;The new project will require a large amount of financial investment and human resources.;Yeni proje, büyük miktarda finansal yatırım ve insan kaynağı gerektirecek.;"a great deal of; plenty of";a small amount of;B2;measurement & quantity;
a large number of;çok sayıda;prep.;A large number of students have signed up for the advanced grammar course this semester.;Bu dönem ileri düzey gramer kursuna çok sayıda öğrenci kaydoldu.;"many; numerous";few;B1;"mathematics;measurement & quantity";
a large quantity of;çok miktarda;prep.;The factory had to dispose of a large quantity of contaminated materials to comply with safety regulations.;Fabrika, güvenlik düzenlemelerine uymak için büyük miktarda kontamine malzemeyi imha etmek zorunda kaldı.;"a great deal of; a large amount of";a small quantity of;B2;measurement & quantity;
a number of;birkaç, birçok;prep.;A number of important issues, such as climate change and global poverty, were discussed at the summit.;İklim değişikliği ve küresel yoksulluk gibi bir dizi önemli konu zirvede tartışıldı.;"several; many";few;B1;"mathematics;measurement & quantity";
a range of;bir dizi, çeşitli;prep.;A range of policy options remains available, from targeted subsidies to stricter efficiency standards for large industrial consumers.;Hedefli sübvansiyonlardan büyük sanayi tüketicileri için daha sıkı verimlilik standartlarına kadar çeşitli politika seçenekleri hâlâ mevcuttur.;;;C1;"academic & writing;measurement & quantity";
a series of;bir dizi, art arda gelen bir dizi;prep.;A series of small earthquakes preceded the main shock, giving scientists valuable data about the fault's changing behaviour.;Ana sarsıntıdan önce bir dizi küçük deprem meydana geldi ve bilim insanlarına fayın değişen davranışı hakkında değerli veriler sağladı.;;;C1;"academic & writing;art & design;measurement & quantity";
a variety of;bir çok farklı;phrase;We stock a variety of cheeses.;Birçok farklı peynir çeşidi stokluyoruz.;"a range of; an assortment of";;B1;measurement & quantity;
abandon;terk etmek, vazgeçmek;v.;Several coastal communities had to abandon their homes when repeated flooding made long-term settlement increasingly unsafe.;Tekrarlanan seller uzun vadeli yerleşimi giderek güvensiz hâle getirince bazı kıyı toplulukları evlerini terk etmek zorunda kaldı.;"leave; desert; forsake";"keep; stay; remain";B2;academic & general;
abash;utandırmak, mahcup etmek;v.;The unexpected and lavish compliment completely abashed the usually confident public speaker.;Beklenmedik ve abartılı iltifat, genellikle kendine güvenen konuşmacıyı tamamen utandırdı.;"embarrass; confound; disconcert";"encourage; embolden; comfort";C2;emotions & attitudes;Psikolojik metinlerde veya karakter analizlerinde birinin özgüveninin aniden sarsılmasını ifade eder.
abate;hafiflemek, dinmek, azalmak, yatışmak, azaltmak;v.;The winds began to abate shortly after midnight, allowing rescue teams to reach villages that had been isolated by the storm.;Rüzgâr gece yarısından kısa süre sonra hafiflemeye başladı ve kurtarma ekiplerinin fırtına nedeniyle izole olan köylere ulaşmasını sağladı.;"subside; decrease; lessen";"intensify; increase; worsen";C1;change & development;
abatement;azaltma, hafifletme;n.;Experts reconsidered their approach to abatement after its effect on ecosystem stability became clear as the project entered its final phase.;Uzmanlar, azaltma unsurunun ekosistem istikrarı üzerindeki etkisi netleşince yaklaşımlarını proje son aşamasına girerken yeniden değerlendirdi.;;;C1;environment & ecology;
abbreviation;kısaltma;n.;The analysis identified abbreviation as a factor influencing language use before the final evaluation was completed.;Analiz, kısaltma unsurunu dil kullanımı üzerinde etkili bir etken olarak nihai değerlendirme tamamlanmadan önce belirledi.;;;B2;language & linguistics;
abdicate;(tahttan/görevden) çekilmek, feragat etmek;v.;The aging monarch was forced to abdicate the throne due to his rapidly deteriorating health.;Yaşlanan hükümdar, hızla bozulan sağlığı nedeniyle tahttan çekilmek (feragat etmek) zorunda kaldı.;"resign; renounce; relinquish";"usurp; claim; seize";C1;"history & archaeology;government & politics";Özellikle tarih ve siyaset metinlerinde 'throne' (taht) veya 'responsibility' (sorumluluk) ile eşdizimli olarak çıkar.
abduct;birisini kaçırmak;v.;The investigators uncovered a network that had planned to abduct wealthy tourists and demand payment for their release.;Soruşturmacılar, varlıklı turistleri kaçırıp serbest bırakılmaları karşılığında para istemeyi planlayan bir ağı ortaya çıkardı.;"kidnap; seize";"release; free";C1;crime & security;
abduction;insan kaçırma;n.;The child's abduction prompted an extensive search involving local police, border authorities, and hundreds of volunteers.;Çocuğun kaçırılması, yerel polis, sınır yetkilileri ve yüzlerce gönüllünün katıldığı kapsamlı bir arama başlattı.;"kidnapping; seizure; capture";"release; freeing";C1;people & identity;
aberrant;anormal, sapkın, alışılmışın dışında;adj.;The scientist noted an aberrant behavior in the lab mice after the chemical exposure.;Bilim insanı kimyasal maruziyetten sonra laboratuvar farelerinde anormal bir davranış kaydetti.;;;C1;"research & science;biology & genetics";
aberration;sapma, anormallik, olağandışılık;n.;The statistical spike recorded during the third quarter was dismissed by econometricians as an isolated seasonal aberration.;Üçüncü çeyrekte kaydedilen istatistiksel sıçrama, ekonometristler tarafından münferit bir mevsimsel sapma olarak değerlendirilip göz ardı edildi.;"anomaly; deviation; irregularity";"norm; standard; regularity";C1;"data & statistics;research & science";İstatistiksel analiz ve fen okuma parçalarında geçer.
aberrational;normdan sapan, anormal;adj.;The evidence was consistent with a n aberrational approach under conditions of prolonged uncertainty.;Kanıtlar, uzun süren belirsizlik koşullarında normdan sapan bir yaklaşım ile uyumluydu.;;;C2;academic & general;
abeyance;geçici askıya alma durumu;n.;The project tracked changes in abeyance alongside the legal outcome over the course of the decade.;Proje, geçici askıya alma durumu alanındaki değişimleri hukuki sonuç ile birlikte on yıl boyunca izledi.;;;C2;law & justice;
abhorrent;iğrenç, nefret uyandıran;adj.;Racial discrimination is abhorrent to modern civilized societies.;Irk ayrımcılığı modern uygar toplumlar için nefret uyandırıcıdır.;;;C1;"society & social issues;ethics & values;academic & general";
abide;katlanmak;v.;I have to admit that I simply cannot abide people who are indecisive and cannot make up their minds about anything.;Kabul etmeliyim ki, kararsız olan ve hiçbir şey hakkında karar veremeyen insanlara kesinlikle katlanamıyorum.;"tolerate; endure";"reject; avoid";C1;academic & general;
abide by;---e uymak, bağlı kalmak;phr. v.;All participating laboratories must abide by the same safety protocol before they are permitted to handle the experimental material.;Katılımcı tüm laboratuvarlar, deneysel malzemeyi kullanmalarına izin verilmeden önce aynı güvenlik protokolüne uymak zorundadır.;"obey; follow";violate;B2;academic & general;
ability;yetenek, kabiliyet;n.;The ability to distinguish reliable evidence from persuasive rhetoric has become essential in an environment saturated with online information.;Güvenilir kanıtı ikna edici retorikten ayırt etme yeteneği, çevrim içi bilgiyle dolu bir ortamda temel hâle gelmiştir.;"capability; talent; competence";"inability; incapacity";B1;academic & general;
